...1,Country,Country Code,Year,Female Life Expectancy,Male Life Expectancy,Population,Life Expectancy Gap
6993,Honduras,HND,2011,73.8,69.3,8622510,-4.5
13883,Saint Helena,SHN,1979,71.9,66.8,6365,-5.1000000000000085
10769,Moldova,MDA,1968,67.3,59.8,3625658,-7.5
17899,Vietnam,VNM,1951,55.8,44.6,25627542,-11.199999999999996
13370,Puerto Rico,PRI,1971,74.9,67.8,2782015,-7.1000000000000085
7160,Iceland,ISL,1962,75.8,71.4,182425,-4.3999999999999915
10456,Mauritania,MRT,2017,66.9,63.3,4160018,-3.6000000000000085
668,Argentina,ARG,1966,68.8,61.5,22403120,-7.299999999999997
14643,Senegal,SEN,2018,70.3,65.8,15574910,-4.5
10130,Mali,MLI,1979,41,39,7218082,-2
3951,Cyprus,CYP,2001,79,75,964838,-4
4460,East Timor,TLS,2004,63.3,60.1,945993,-3.1999999999999957
11372,Myanmar,MMR,1995,61.1,55.6,42880188,-5.5
7311,Indonesia,IDN,1969,54.2,50.6,112149256,-3.6000000000000014
10602,Mayotte,MYT,2019,80.8,73.8,294502,-7
18226,Yemen,YEM,1988,59.8,55.8,12387243,-4
7999,Jersey,JEY,2009,82.6,78,95150,-4.599999999999994
984,Australia,AUS,1994,80.8,74.9,17805506,-5.8999999999999915
11298,Mozambique,MOZ,1993,47,43.7,14206253,-3.299999999999997
8266,Kiribati,KIR,1988,61.5,58.3,71700,-3.200000000000003
